userID,url,comment,articleID,categoryID
1050507648,https://vnexpress.net/oto-roi-xuong-vuc-ba-nguoi-chet-4188755.html,"Đà Lạt khu du lịch lang biang cũng sử dụng xe này , thật sự khi đi rồi mới thấy nguy hiểm lắm vậy sao mà cứ sử dụng hoài ,, nên kiếm loại xe nào thay thế kẻo xảy ra sự cố đáng tiếc và cái giá đắt về mạng người,,,!!!",4188755,1003459
1050507648,/huy-tran-dau-vi-son-la-chi-co-bon-cau-thu-4188138.html,"Xuống hạng 2 ,,1,2,3,,,3,2,1 vậy thôi xuống mà,,,!!!",4188138,1002568
1050507648,/bau-hien-ha-noi-vo-dich-trong-long-nguoi-ham-mo-4188732.html,"Nên chấp nhận sự thật ,,, !!",4188732,1002568
1050507648,https://vnexpress.net/loi-danh-may-tai-michigan-khoi-mao-cao-buoc-gian-lan-bau-cu-4187522.html,"thắng chung cuộc,,,OK,,",4187522,1001002
1050507648,https://vnexpress.net/nguoi-ung-ho-trump-bao-vay-xe-buyt-cua-chien-dich-biden-4185273.html,"mong Ông Bin thắng ,, mà thắng đứng lại,,,!!!",4185273,1001002
1050507648,https://vnexpress.net/bo-doi-giup-dan-khac-phuc-hau-qua-sau-lu-4181692.html,"nhìn hinh ảnh anh bộ đôi CỤ HỒ mới thấy rõ tình Quân và Dân,,,!!!",4181692,1001005
1050507648,https://vnexpress.net/oto-vuot-au-dam-bay-nguoi-di-xe-dap-4180727.html,"Phán như có ở hiện trường vậy ,,,!!",4180727,1001006
1050507648,https://vnexpress.net/16-ung-vien-giao-su-pho-giao-su-bi-to-cao-khai-gian-4180696.html,"Kết quả thẩm định cho thấy 12 ứng viên không đạt yêu cầu về công bố do không đủ bài báo khoa học đối với ứng viên giáo sư,,,,năm rồi cũng vậy ,,!! đã là học hàm cỡ đó mà chưa trung thực vậy sau này rồi sao,,,???",4180696,1003497
1050507648,/cach-chia-se-ma-dinh-vi-cho-cuu-ho-khan-cap-4179538.html,"rất hữu ích chúng ta nên biết cách này ,,,hay,,,!!!",4179538,1002595
1049352367,https://vnexpress.net/oto-roi-xuong-vuc-ba-nguoi-chet-4188755.html,"Xe cũ quá rồi, công nghệ lạc hậu, xe có thể mất phanh mất lái bất cứ lúc nào. Xin chia buồn cùng các gđ nạn nhân.",4188755,1003459
1049352367,https://vnexpress.net/xe-dau-keo-danh-roi-cot-dien-tren-cao-toc-4181408.html,"Các DN vận tải phải bị phạt thật nặng khi để xe vận tải chở cột điện, cọc ép, ống thép, thép cuộn, cống bê tông là những thứ gây nguy hiểm nhất khi tham gia giao thông, nếu không được ràng buộc bằng nhiều sợi cáp chắc chắn thì nguy cơ rất lớn, một số xe sử dụng dây xích là sai, dây xích dễ đứt bung mối hàn. Điều quan trọng nhất là phải có ý thức trách nhiệm với cộng đồng chứ đừng để chuyện đáng tiếc xảy ra rồi mới tính.",4181408,1003459
1049352367,/gia-iphone-12-chinh-hang-cao-nhat-la-44-trieu-dong-4176162.html,So với giá gốc thì giá bán ở Việt Nam tăng 200usd.,4176162,1004627
1049352367,https://vnexpress.net/be-tac-trong-quan-he-voi-chi-dong-nghiep-vang-chong-4164708.html,"Tình dục lén lút luôn là sự thôi thúc đến mê muội, họ bất chấp hậu quả, họ đến với nhau để thoả mãn nhục dục và có cả cảm giác đạt được sự lừa dối, che dấu ai đó nên sự ham muốn sung mãn luôn thôi thúc họ gặp nhau khi có cơ hội, họ gặp nhau chỉ vì tình dục, ko bị ràng buộc, ko vướng bận gì trong cs, thoã mãn xong ai về nhà ấy, nên họ luôn đạt dc cảm giác khoái lạc, ăn vụng bao giờ cũng ngon là vậy, khó từ bỏ, khó dừng lại. Tội lỗi này chỉ thức tỉnh khi bị phơi bày, hậu quả sẽ là nỗi nhục ê chề mà họ phải chịu đựng về sau.",4164708,1001014
